TradeId,CounterParty,Price,TradeDate,Quantity,EntryDate,Notes,BuySell,TrancheId,BookName,Active
1,Jaxworks,39.12,3/20/08,84845.91,12/20/05,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor,Sell,408353,London,TRUE
2,Riffwire,72.11,8/6/01,81341.91,5/2/09,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,Sell,3399478,Par,FALSE
3,Twitternation,28.49,8/18/09,19441.64,12/14/08,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor,Sell,654182,Distressed,FALSE
4,Yakidoo,67.91,9/5/03,71404.6,4/16/11,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,Sell,555062,Ajay,FALSE
5,Ooba,60.82,7/4/11,98295.66,9/27/00,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,Buy,1801367,Distressed,FALSE
6,Brainlounge,79.66,2/21/03,34805.14,6/21/05,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,Buy,3154309,Distressed,FALSE
7,Jabbercube,32.64,11/12/06,99273.95,4/12/06,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt,Buy,3644976,Kevin,TRUE
8,Vidoo,5.81,8/2/11,57198.52,9/8/10,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent,Sell,3668580,London,TRUE
9,Rhyloo,65.59,1/31/13,33928.02,9/29/11,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,Buy,4111002,Distressed,FALSE
10,Zoonoodle,63.92,1/6/13,25608.53,11/4/04,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque,Buy,2763728,Distressed,TRUE
11,Twimm,61.11,3/5/09,44402.3,4/3/01,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,Buy,3011227,Ajay,TRUE
12,Talane,94.8,9/29/00,95469.79,1/17/02,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,Buy,763200,London,FALSE
13,Jaxworks,79.35,12/19/05,51242.56,5/19/02,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,Sell,551170,Kevin,TRUE
14,Feedspan,56.17,1/4/07,64676.58,1/11/04,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,Buy,3549570,Kevin,TRUE
15,Jatri,71.64,6/12/06,19054.08,9/8/09,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,Buy,3616975,Distressed,TRUE
16,Twitterlist,47.28,1/7/01,57383.82,9/8/03,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,Sell,4466386,Homer,TRUE
17,Edgetag,47.18,12/18/08,89895.5,2/28/04,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat,Sell,963117,Distressed,TRUE
18,Zoomcast,60.2,3/4/06,30919.83,4/13/03,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,Buy,4006715,Kevin,TRUE
19,Buzzdog,55.72,7/24/00,61558.77,4/28/05,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in,Sell,3988725,Kevin,TRUE
20,Tagpad,5.82,5/7/04,82302.4,1/28/13,ante nulla justo aliquam quis turpis eget elit sodales scelerisque,Buy,3469424,Distressed,FALSE
21,Mudo,54.7,7/30/09,51763.47,6/14/09,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam,Buy,4293571,Distressed,FALSE
